productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extCardType,extCardSubtype,extElement,extClass,extMemoryCost,extLevel,extLife,extFlavorText,extPower,extDurability,extReserveCost,extSpeed
559098,Mortal Ambition 1st Edition Booster Box,Mortal Ambition 1st Edition Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/559098_200w.jpg,74,23545,https://cpt.tcgcsv.com/-Ft6,2024-10-11T04:08:17.513,1,59.0,75.14,107.99,62.9,,Normal,,,,,,,,,,,,,,,
559099,Mortal Ambition 1st Edition Booster Box Case,Mortal Ambition 1st Edition Booster Box Case,https://tcgplayer-cdn.tcgplayer.com/product/559099_200w.jpg,74,23545,https://cpt.tcgcsv.com/_Ft6,2024-10-11T04:08:17.513,1,365.89,514.76,580.0,366.85,,Normal,,,,,,,,,,,,,,,
559100,Mortal Ambition 1st Edition Booster Pack,Mortal Ambition 1st Edition Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/559100_200w.jpg,74,23545,https://cpt.tcgcsv.com/0Gt6,2024-10-11T04:08:17.513,1,4.99,5.24,5.49,5.06,,Normal,,,,,,,,,,,,,,,
583917,Spirit of Fire,Spirit of Fire,https://tcgplayer-cdn.tcgplayer.com/product/583917_200w.jpg,74,23545,https://cpt.tcgcsv.com/mBH6,2024-10-11T04:08:17.513,1,0.1,0.2,0.52,0.14,,Normal,Common,001,On Enter: Draw seven cards.,Champion,Spirit,Fire,Spirit,0,0,15,"<em>The vermillion bird blazes a fiery trail across the horizon, alight with a passion for knowledge.</em>",,,,
583918,Spirit of Water,Spirit of Water,https://tcgplayer-cdn.tcgplayer.com/product/583918_200w.jpg,74,23545,https://cpt.tcgcsv.com/nBH6,2024-10-11T04:08:17.513,1,0.1,0.2,0.52,0.11,,Normal,Common,002,On Enter: Draw seven cards.,Champion,Spirit,Water,Spirit,0,0,15,<em>The tides and waves thrash again as serpent and tortoise entwined awaken from their slumber.</em>,,,,
583919,Spirit of Wind,Spirit of Wind,https://tcgplayer-cdn.tcgplayer.com/product/583919_200w.jpg,74,23545,https://cpt.tcgcsv.com/pBH6,2024-10-11T04:08:17.513,1,0.05,0.2,0.52,0.09,,Normal,Common,003,On Enter: Draw seven cards.,Champion,Spirit,Wind,Spirit,0,0,15,<em>Auspicious fortune and good tidings follow the silver tiger on its fleet-footed journey through seasons.</em>,,,,
583920,"Jin, Fate Defiant",Jin Fate Defiant,https://tcgplayer-cdn.tcgplayer.com/product/583920_200w.jpg,74,23545,https://cpt.tcgcsv.com/qBH6,2024-10-17T17:58:22.62,1,0.1,0.21,0.52,0.16,,Normal,Common,004,"Inherited Effect — Whenever Jin attacks with a Polearm weapon and/or Polearm attack card, target Horse or Human ally you control gets +1 power until end of turn. (Your champion has this ability as long as this card is part of its lineage.)",Champion,Human,Norm,Warrior,1,1,20,<em>Why fight to die when you can fight to live?</em>,,,,
583920,"Jin, Fate Defiant",Jin Fate Defiant,https://tcgplayer-cdn.tcgplayer.com/product/583920_200w.jpg,74,23545,https://cpt.tcgcsv.com/qBH6,2024-10-17T17:58:22.62,1,7.0,10.0,29.99,10.01,,Foil,Common,004,"Inherited Effect — Whenever Jin attacks with a Polearm weapon and/or Polearm attack card, target Horse or Human ally you control gets +1 power until end of turn. (Your champion has this ability as long as this card is part of its lineage.)",Champion,Human,Norm,Warrior,1,1,20,<em>Why fight to die when you can fight to live?</em>,,,,
583921,"Jin, Fate Defiant (CSR)",Jin Fate Defiant CSR,https://tcgplayer-cdn.tcgplayer.com/product/583921_200w.jpg,74,23545,https://cpt.tcgcsv.com/rBH6,2024-10-23T13:40:22.237,1,205.0,220.67,398.74,266.0,,Foil,Collector Super Rare,004,"Inherited Effect — Whenever Jin attacks with a Polearm weapon and/or Polearm attack card, target Horse or Human ally you control gets +1 power until end of turn. (Your champion has this ability as long as this card is part of its lineage.)",Champion,Human,Norm,Warrior,1,1,20,<em>Why fight to die when you can fight to live?</em>,,,,
583922,"Jin, Zealous Maverick",Jin Zealous Maverick,https://tcgplayer-cdn.tcgplayer.com/product/583922_200w.jpg,74,23545,https://cpt.tcgcsv.com/sBH6,2024-10-11T04:08:17.513,1,0.1,0.2,0.52,0.15,,Normal,Common,005,"Jin Lineage (Jin, Zealous Maverick must be leveled from a previous level ""Jin"" champion.) <br><br>
<br><br>
On Enter: Jin's next attack this turn gets +1 power and has ""On Attack: Wake up Jin.""",Champion,Human,Norm,Warrior,2,2,24,"<em>Unfortunately for you, I have something to fight for.</em>",,,,
583922,"Jin, Zealous Maverick",Jin Zealous Maverick,https://tcgplayer-cdn.tcgplayer.com/product/583922_200w.jpg,74,23545,https://cpt.tcgcsv.com/sBH6,2024-10-11T04:08:17.513,1,14.46,17.56,29.99,16.88,,Foil,Common,005,"Jin Lineage (Jin, Zealous Maverick must be leveled from a previous level ""Jin"" champion.) <br><br>
<br><br>
On Enter: Jin's next attack this turn gets +1 power and has ""On Attack: Wake up Jin.""",Champion,Human,Norm,Warrior,2,2,24,"<em>Unfortunately for you, I have something to fight for.</em>",,,,
583923,"Jin, Zealous Maverick (CSR)",Jin Zealous Maverick CSR,https://tcgplayer-cdn.tcgplayer.com/product/583923_200w.jpg,74,23545,https://cpt.tcgcsv.com/tBH6,2024-10-23T13:40:00.927,1,,,,,,,Collector Super Rare,005,"Jin Lineage (Jin, Zealous Maverick must be leveled from a previous level ""Jin"" champion.) <br>
<br>
<br>
<br>
On Enter: Jin's next attack this turn gets +1 power and has ""On Attack: Wake up Jin.""",Champion,Human,Norm,Warrior,2,2,24,"<em>Unfortunately for you, I have something to fight for.</em>",,,,
583924,"Jin, Undying Resolve",Jin Undying Resolve,https://tcgplayer-cdn.tcgplayer.com/product/583924_200w.jpg,74,23545,https://cpt.tcgcsv.com/vBH6,2024-10-11T04:08:17.513,1,4.0,9.6,43.97,8.86,,Foil,Common,006,"Jin Lineage <br><br>
<br><br>
As long as it's not your end phase, Jin has immortality. (A unit with immortality can't die.)",Champion,Human,Exia,Warrior,3,3,28,"<em>For the first time, I have never felt more alive!</em>",,,,
583924,"Jin, Undying Resolve",Jin Undying Resolve,https://tcgplayer-cdn.tcgplayer.com/product/583924_200w.jpg,74,23545,https://cpt.tcgcsv.com/vBH6,2024-10-11T04:08:17.513,1,0.08,0.2,0.52,0.13,,Normal,Common,006,"Jin Lineage <br><br>
<br><br>
As long as it's not your end phase, Jin has immortality. (A unit with immortality can't die.)",Champion,Human,Exia,Warrior,3,3,28,"<em>For the first time, I have never felt more alive!</em>",,,,
583925,"Kongming, Wayward Maven",Kongming Wayward Maven,https://tcgplayer-cdn.tcgplayer.com/product/583925_200w.jpg,74,23545,https://cpt.tcgcsv.com/wBH6,2024-10-11T04:08:17.513,1,0.1,0.2,0.52,0.15,,Normal,Common,007,"On Enter: You gain the Shifting Currents mastery. (Players can only have one mastery. The Shifting Currents mastery has four modes: North, South, East, and West. Some cards benefit from certain directions of Shifting Currents. Starts in the North direction.)",Champion,Human,Norm,Mage,1,1,19,<em>A lily pad is but a weed in a pond of lotuses.</em>,,,,
583925,"Kongming, Wayward Maven",Kongming Wayward Maven,https://tcgplayer-cdn.tcgplayer.com/product/583925_200w.jpg,74,23545,https://cpt.tcgcsv.com/wBH6,2024-10-11T04:08:17.513,1,12.94,19.99,48.99,17.67,,Foil,Common,007,"On Enter: You gain the Shifting Currents mastery. (Players can only have one mastery. The Shifting Currents mastery has four modes: North, South, East, and West. Some cards benefit from certain directions of Shifting Currents. Starts in the North direction.)",Champion,Human,Norm,Mage,1,1,19,<em>A lily pad is but a weed in a pond of lotuses.</em>,,,,
583926,"Kongming, Wayward Maven (CSR)",Kongming Wayward Maven CSR,https://tcgplayer-cdn.tcgplayer.com/product/583926_200w.jpg,74,23545,https://cpt.tcgcsv.com/xBH6,2024-10-23T13:43:07.017,1,699.99,699.99,700.0,,,Foil,Collector Super Rare,007,"On Enter: You gain the Shifting Currents mastery. (Players can only have one mastery. The Shifting Currents mastery has four modes: North, South, East, and West. Some cards benefit from certain directions of Shifting Currents. Starts in the North direction.)",Champion,Human,Norm,Mage,1,1,19,"<em>“Dear sister, did you know? Even the most beautiful begonia can become a deadly poison if overindulged.”</em>",,,,
583927,"Kongming, Ascetic Vice",Kongming Ascetic Vice,https://tcgplayer-cdn.tcgplayer.com/product/583927_200w.jpg,74,23545,https://cpt.tcgcsv.com/zBH6,2024-10-11T04:08:17.513,1,0.1,0.2,0.52,0.14,,Normal,Common,008,"Kongming Lineage (Kongming, Ascetic Vice must be leveled from a previous level ""Kongming"" champion.) <br><br>
<br><br>
On Enter: Empower 3.<br><br>
<br><br>
Inherited Effect — Whenever your Shifting Currents change from facing North to South, draw a card.",Champion,Human,Norm,Mage,2,2,22,,,,,
