productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber,extDescription,extCardType,extCardSubtype,extElement,extClass,extReserveCost,extSpeed,extFlavorText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extPower,extLife,extMemoryCost,extLevel,extDurability
494129,Accepted Contract,Accepted Contract,https://tcgplayer-cdn.tcgplayer.com/product/494129_200w.jpg,74,23123,https://cpt.tcgcsv.com/CGZ5,2023-04-28T04:03:10.867,1,Common,069,Put three preparation counters on your champion.,Action,Skill,Norm,Assassin,5,Slow,<em>Every job is only taken after detailed planning and consideration. Only the foolish would leave things to chance.</em>,0.1,0.37,0.5,0.27,,Normal,,,,,
494129,Accepted Contract,Accepted Contract,https://tcgplayer-cdn.tcgplayer.com/product/494129_200w.jpg,74,23123,https://cpt.tcgcsv.com/CGZ5,2023-04-28T04:03:10.867,1,Common,069,Put three preparation counters on your champion.,Action,Skill,Norm,Assassin,5,Slow,<em>Every job is only taken after detailed planning and consideration. Only the foolish would leave things to chance.</em>,59.99,60.12,64.9,,,Foil,,,,,
494130,Advent of the Stormcaller,Advent of the Stormcaller,https://tcgplayer-cdn.tcgplayer.com/product/494130_200w.jpg,74,23123,https://cpt.tcgcsv.com/DGZ5,2023-04-28T04:03:10.867,1,Super Rare,237,"[Class Bonus] Efficiency<br>Reveal the top LV cards of your deck. You may banish any amount of arcane element cards from among them. For each card banished this way, choose a unit and deal 2 damage to it. Put the rest of the revealed cards on the top or on the bottom of your deck in any order.",Action,Spell,Arcane,Mage,15,Slow,,15.68,15.98,18.99,7.06,,Normal,,,,,
494130,Advent of the Stormcaller,Advent of the Stormcaller,https://tcgplayer-cdn.tcgplayer.com/product/494130_200w.jpg,74,23123,https://cpt.tcgcsv.com/DGZ5,2023-04-28T04:03:10.867,1,Super Rare,237,"[Class Bonus] Efficiency<br>Reveal the top LV cards of your deck. You may banish any amount of arcane element cards from among them. For each card banished this way, choose a unit and deal 2 damage to it. Put the rest of the revealed cards on the top or on the bottom of your deck in any order.",Action,Spell,Arcane,Mage,15,Slow,,279.98,279.99,314.99,,,Foil,,,,,
494132,Aesan Protector,Aesan Protector,https://tcgplayer-cdn.tcgplayer.com/product/494132_200w.jpg,74,23123,https://cpt.tcgcsv.com/GGZ5,2023-04-28T04:03:10.867,1,Uncommon,198,"Intercept (Whenever your champion is attacked while this ally is awake, you may redirect that attack to this ally.)<br>On Enter: Return target ally you control to its owner's hand.",Ally,Human,Wind,Guardian,4,,,89.99,144.97,199.95,89.99,,Foil,3,4,,,
494132,Aesan Protector,Aesan Protector,https://tcgplayer-cdn.tcgplayer.com/product/494132_200w.jpg,74,23123,https://cpt.tcgcsv.com/GGZ5,2023-04-28T04:03:10.867,1,Uncommon,198,"Intercept (Whenever your champion is attacked while this ally is awake, you may redirect that attack to this ally.)<br>On Enter: Return target ally you control to its owner's hand.",Ally,Human,Wind,Guardian,4,,,2.44,2.99,3.0,1.24,,Normal,3,4,,,
494133,"Allen, Beast Beckoner",Allen Beast Beckoner,https://tcgplayer-cdn.tcgplayer.com/product/494133_200w.jpg,74,23123,https://cpt.tcgcsv.com/HGZ5,2023-04-28T04:03:10.867,1,Common,016,"On Enter: Glimpse 3, then reveal the top card of your deck. If that card is a Harmony or Melody card, put it into your hand.<br>As long as you control two or more Animal and/or Beast allies, Allen gets +2 level.",Champion,Human,Norm,Tamer,,,<em>I'm working on a tune. Care to listen?</em>,0.1,0.3,0.5,0.24,,Normal,,22,2,2,
494136,Anger the Skies,Anger the Skies,https://tcgplayer-cdn.tcgplayer.com/product/494136_200w.jpg,74,23123,https://cpt.tcgcsv.com/LGZ5,2023-04-28T04:03:10.867,1,Rare,238,Deal 3 damage to all allies. Class Bonus: Deal 4 damage to those allies instead.,Action,Spell,Arcane,Mage,3,Slow,<em>Those beneath darkened clouds can do little once the raucous thundering begins.</em>,0.71,0.87,2.0,0.38,,Normal,,,,,
494136,Anger the Skies,Anger the Skies,https://tcgplayer-cdn.tcgplayer.com/product/494136_200w.jpg,74,23123,https://cpt.tcgcsv.com/LGZ5,2023-04-28T04:03:10.867,1,Rare,238,Deal 3 damage to all allies. Class Bonus: Deal 4 damage to those allies instead.,Action,Spell,Arcane,Mage,3,Slow,<em>Those beneath darkened clouds can do little once the raucous thundering begins.</em>,67.99,71.99,99.99,,,Foil,,,,,
494138,Aqueous Enchanting,Aqueous Enchanting,https://tcgplayer-cdn.tcgplayer.com/product/494138_200w.jpg,74,23123,https://cpt.tcgcsv.com/NGZ5,2023-04-28T04:03:10.867,1,Uncommon,159,"Allies you control get your choice of +1 power or +1 life until end of turn.<br>[Class Bonus] Floating Memory (While paying for a memory cost, you may banish this card from your graveyard to pay for 1 of that cost.)",Action,Spell,Water,Warrior,3,Fast,,0.15,0.33,0.5,0.42,,Normal,,,,,
494138,Aqueous Enchanting,Aqueous Enchanting,https://tcgplayer-cdn.tcgplayer.com/product/494138_200w.jpg,74,23123,https://cpt.tcgcsv.com/NGZ5,2023-04-28T04:03:10.867,1,Uncommon,159,"Allies you control get your choice of +1 power or +1 life until end of turn.<br>[Class Bonus] Floating Memory (While paying for a memory cost, you may banish this card from your graveyard to pay for 1 of that cost.)",Action,Spell,Water,Warrior,3,Fast,,35.0,40.0,44.95,,,Foil,,,,,
494142,Arcane Blast,Arcane Blast,https://tcgplayer-cdn.tcgplayer.com/product/494142_200w.jpg,74,23123,https://cpt.tcgcsv.com/SGZ5,2023-04-28T04:03:10.867,1,Uncommon,239,Efficiency (This card costs LV less to activate. LV refers to your champion's level.)<br>Deal 11 damage to target champion.,Action,Spell,Arcane,Mage,11,Slow,"<em>Power enough to level entire fortifications, only an arm's length away.</em>",62.99,66.49,69.99,,,Foil,,,,,
494142,Arcane Blast,Arcane Blast,https://tcgplayer-cdn.tcgplayer.com/product/494142_200w.jpg,74,23123,https://cpt.tcgcsv.com/SGZ5,2023-04-28T04:03:10.867,1,Uncommon,239,Efficiency (This card costs LV less to activate. LV refers to your champion's level.)<br>Deal 11 damage to target champion.,Action,Spell,Arcane,Mage,11,Slow,"<em>Power enough to level entire fortifications, only an arm's length away.</em>",0.15,0.41,0.67,0.24,,Normal,,,,,
494144,Arcane Disposition,Arcane Disposition,https://tcgplayer-cdn.tcgplayer.com/product/494144_200w.jpg,74,23123,https://cpt.tcgcsv.com/VGZ5,2023-04-28T04:03:10.867,1,Uncommon,240,"Draw two cards. At the beginning of the next end phase, discard your hand.<br>[Class Bonus:] Draw a card.",Action,Spell,Arcane,Mage,3,Slow,<em>Controlling such chaotic mana requires great finesse and some degree of luck.</em>,0.23,0.47,0.5,,,Normal,,,,,
494144,Arcane Disposition,Arcane Disposition,https://tcgplayer-cdn.tcgplayer.com/product/494144_200w.jpg,74,23123,https://cpt.tcgcsv.com/VGZ5,2023-04-28T04:03:10.867,1,Uncommon,240,"Draw two cards. At the beginning of the next end phase, discard your hand.<br>[Class Bonus:] Draw a card.",Action,Spell,Arcane,Mage,3,Slow,<em>Controlling such chaotic mana requires great finesse and some degree of luck.</em>,69.99,69.99,69.99,,,Foil,,,,,
494146,Arcane Elemental,Arcane Elemental,https://tcgplayer-cdn.tcgplayer.com/product/494146_200w.jpg,74,23123,https://cpt.tcgcsv.com/XGZ5,2023-04-28T04:03:10.867,1,Rare,241,"[Class Bonus] This card costs 1 less to activate for each arcane element card in your banishment.<br>Pride 7 (This ally won't obey you unless your champion is level 7 or higher.)<br>On Attack: At the beginning of the next end phase, banish Arcane Elemental.",Ally,Elemental,Arcane,Mage,7,,,0.59,0.99,2.0,,,Normal,7,7,,,
494146,Arcane Elemental,Arcane Elemental,https://tcgplayer-cdn.tcgplayer.com/product/494146_200w.jpg,74,23123,https://cpt.tcgcsv.com/XGZ5,2023-04-28T04:03:10.867,1,Rare,241,"[Class Bonus] This card costs 1 less to activate for each arcane element card in your banishment.<br>Pride 7 (This ally won't obey you unless your champion is level 7 or higher.)<br>On Attack: At the beginning of the next end phase, banish Arcane Elemental.",Ally,Elemental,Arcane,Mage,7,,,99.99,99.99,99.99,,,Foil,7,7,,,
494147,Arcane Sight,Arcane Sight,https://tcgplayer-cdn.tcgplayer.com/product/494147_200w.jpg,74,23123,https://cpt.tcgcsv.com/ZGZ5,2023-04-28T04:03:10.867,1,Uncommon,242,Your champion gets +1 level until end of turn.<br>Draw a card.,Action,Spell,Arcane,Mage,0,Fast,"<em>""If only you could see what I see, Lorraine. Even you might abandon the sword.""<br>— Rai Kyouki</em>",0.17,0.4,0.5,0.21,,Normal,,,,,
494147,Arcane Sight,Arcane Sight,https://tcgplayer-cdn.tcgplayer.com/product/494147_200w.jpg,74,23123,https://cpt.tcgcsv.com/ZGZ5,2023-04-28T04:03:10.867,1,Uncommon,242,Your champion gets +1 level until end of turn.<br>Draw a card.,Action,Spell,Arcane,Mage,0,Fast,"<em>""If only you could see what I see, Lorraine. Even you might abandon the sword.""<br>— Rai Kyouki</em>",79.99,80.11,99.99,,,Foil,,,,,
494148,"Arima, Gaia's Wings",Arima Gaias Wings,https://tcgplayer-cdn.tcgplayer.com/product/494148_200w.jpg,74,23123,https://cpt.tcgcsv.com/-GZ5,2023-04-28T04:03:10.867,1,Super Rare,266,"Pride 5 (This ally won't obey you unless your champion is level 5 or higher.)<br>At the beginning of your recollection phase, put three buff counters on Arima.<br>On Death: Put Arima into your memory.",Ally;Unique,Beast;Phoenix,Tera,Tamer,3,,,139.99,139.99,139.99,,,Foil,3,3,,,
494148,"Arima, Gaia's Wings",Arima Gaias Wings,https://tcgplayer-cdn.tcgplayer.com/product/494148_200w.jpg,74,23123,https://cpt.tcgcsv.com/-GZ5,2023-04-28T04:03:10.867,1,Super Rare,266,"Pride 5 (This ally won't obey you unless your champion is level 5 or higher.)<br>At the beginning of your recollection phase, put three buff counters on Arima.<br>On Death: Put Arima into your memory.",Ally;Unique,Beast;Phoenix,Tera,Tamer,3,,,2.02,2.94,8.99,2.23,,Normal,3,3,,,
494150,Arrow Trap,Arrow Trap,https://tcgplayer-cdn.tcgplayer.com/product/494150_200w.jpg,74,23123,https://cpt.tcgcsv.com/0HZ5,2023-04-28T04:03:10.867,1,Uncommon,199,"Prepare 1 (You may remove a preparation counter from your champion as you activate this card.)<br>Return target attacking ally to its owner's hand. Class Bonus: If Arrow Trap was prepared, destroy that ally instead.",Action,Reaction;Skill,Wind,Assassin;Ranger,2,Fast,,36.99,36.99,36.99,,,Foil,,,,,
494150,Arrow Trap,Arrow Trap,https://tcgplayer-cdn.tcgplayer.com/product/494150_200w.jpg,74,23123,https://cpt.tcgcsv.com/0HZ5,2023-04-28T04:03:10.867,1,Uncommon,199,"Prepare 1 (You may remove a preparation counter from your champion as you activate this card.)<br>Return target attacking ally to its owner's hand. Class Bonus: If Arrow Trap was prepared, destroy that ally instead.",Action,Reaction;Skill,Wind,Assassin;Ranger,2,Fast,,0.15,0.49,1.25,0.4,,Normal,,,,,
494151,"Arthur, Young Heir",Arthur Young Heir,https://tcgplayer-cdn.tcgplayer.com/product/494151_200w.jpg,74,23123,https://cpt.tcgcsv.com/2HZ5,2023-04-28T04:03:10.867,1,Super Rare,118,"On Enter: You may rest Arthur. If you do, Arthur gains immortality until the beginning of your next turn. (A unit with immortality can't die.)<br>As long as Arthur is rested, other allies you control get +1 power.",Ally;Unique,Human,Fire,Warrior,4,,,199.99,199.99,199.99,,,Foil,2,3,,,
