productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extCardType,extCardSubtype,extElement,extClass,extMemoryCost,extLevel,extLife,extFlavorText,extPower,extDurability,extReserveCost,extSpeed
610738,Abyssal Heaven 1st Edition Booster Pack,Abyssal Heaven 1st Edition Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/610738_200w.jpg,74,24070,https://cpt.tcgcsv.com/NjV6,2025-03-07T05:10:20,1,5.0,5.0,5.0,4.66,,Normal,,,,,,,,,,,,,,,
610739,Abyssal Heaven 1st Edition Booster Box,Abyssal Heaven 1st Edition Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/610739_200w.jpg,74,24070,https://cpt.tcgcsv.com/PjV6,2025-03-07T05:10:20,1,54.95,64.0,84.95,61.22,,Normal,,,,,,,,,,,,,,,
610740,Abyssal Heaven 1st Edition Booster Box Case,Abyssal Heaven 1st Edition Booster Box Case,https://tcgplayer-cdn.tcgplayer.com/product/610740_200w.jpg,74,24070,https://cpt.tcgcsv.com/QjV6,2025-03-07T05:10:20,1,355.0,399.16,499.64,374.83,,Normal,,,,,,,,,,,,,,,
622373,Spirit of Fortuitous Fire,Spirit of Fortuitous Fire,https://tcgplayer-cdn.tcgplayer.com/product/622373_200w.jpg,74,24070,https://cpt.tcgcsv.com/tZ-6,2025-03-07T05:10:20,1,1.46,9.42,20.0,1.73,,Normal,Super Rare,001,On Enter: Glimpse 7. Draw seven cards into your memory.,Champion,Spirit,Fire,Spirit,0,0,15,"<em>Suzaku, mythical Shenju of flames. Purge this land clear of torment and hate so that we may live again.</em>",,,,
622373,Spirit of Fortuitous Fire,Spirit of Fortuitous Fire,https://tcgplayer-cdn.tcgplayer.com/product/622373_200w.jpg,74,24070,https://cpt.tcgcsv.com/tZ-6,2025-03-07T05:10:20,1,14.99,29.74,70.0,26.06,,Foil,Super Rare,001,On Enter: Glimpse 7. Draw seven cards into your memory.,Champion,Spirit,Fire,Spirit,0,0,15,"<em>Suzaku, mythical Shenju of flames. Purge this land clear of torment and hate so that we may live again.</em>",,,,
622374,Spirit of Fortuitous Water,Spirit of Fortuitous Water,https://tcgplayer-cdn.tcgplayer.com/product/622374_200w.jpg,74,24070,https://cpt.tcgcsv.com/vZ-6,2025-03-07T05:10:20,1,0.84,3.0,30.0,1.8,,Normal,Super Rare,002,On Enter: Glimpse 7. Draw seven cards into your memory.,Champion,Spirit,Water,Spirit,0,0,15,"<em>Genbu, mythical Shenju of waves. Wash this land clean of strife and pain so that we may thrive again.</em>",,,,
622374,Spirit of Fortuitous Water,Spirit of Fortuitous Water,https://tcgplayer-cdn.tcgplayer.com/product/622374_200w.jpg,74,24070,https://cpt.tcgcsv.com/vZ-6,2025-03-07T05:10:20,1,14.99,16.99,49.99,18.24,,Foil,Super Rare,002,On Enter: Glimpse 7. Draw seven cards into your memory.,Champion,Spirit,Water,Spirit,0,0,15,"<em>Genbu, mythical Shenju of waves. Wash this land clean of strife and pain so that we may thrive again.</em>",,,,
622375,Spirit of Fortuitous Wind,Spirit of Fortuitous Wind,https://tcgplayer-cdn.tcgplayer.com/product/622375_200w.jpg,74,24070,https://cpt.tcgcsv.com/wZ-6,2025-03-07T05:10:20,1,0.25,4.0,20.0,1.68,,Normal,Super Rare,003,On Enter: Glimpse 7. Draw seven cards into your memory.,Champion,Spirit,Wind,Spirit,0,0,15,"<em>Byakko, mythical Shenju of winds. Wipe this land free of sin and corruption so that we may rise again.</em>",,,,
622375,Spirit of Fortuitous Wind,Spirit of Fortuitous Wind,https://tcgplayer-cdn.tcgplayer.com/product/622375_200w.jpg,74,24070,https://cpt.tcgcsv.com/wZ-6,2025-03-07T05:10:20,1,23.98,28.99,70.0,50.99,,Foil,Super Rare,003,On Enter: Glimpse 7. Draw seven cards into your memory.,Champion,Spirit,Wind,Spirit,0,0,15,"<em>Byakko, mythical Shenju of winds. Wipe this land free of sin and corruption so that we may rise again.</em>",,,,
622376,"Diao Chan, Enchantress",Diao Chan Enchantress,https://tcgplayer-cdn.tcgplayer.com/product/622376_200w.jpg,74,24070,https://cpt.tcgcsv.com/xZ-6,2025-03-07T05:10:20,1,0.07,0.18,1.39,0.13,,Normal,Common,004,"On Enter: Put two glimmer counters on Diao Chan.<br>
<br>
Inherited Effect — REST: Activate a Reaction Spell card from your memory. Pay its reserve cost only by removing that many glimmer counters from Diao Chan. Activate this ability only during an opponent's turn.",Champion,Cleric;Human,Norm,Cleric,1,1,19,,,,,
622376,"Diao Chan, Enchantress",Diao Chan Enchantress,https://tcgplayer-cdn.tcgplayer.com/product/622376_200w.jpg,74,24070,https://cpt.tcgcsv.com/xZ-6,2025-03-07T05:10:20,1,7.99,14.99,43.95,12.2,,Foil,Common,004,"On Enter: Put two glimmer counters on Diao Chan.<br>
<br>
Inherited Effect — REST: Activate a Reaction Spell card from your memory. Pay its reserve cost only by removing that many glimmer counters from Diao Chan. Activate this ability only during an opponent's turn.",Champion,Cleric;Human,Norm,Cleric,1,1,19,,,,,
622377,"Diao Chan, Dreaming Wish",Diao Chan Dreaming Wish,https://tcgplayer-cdn.tcgplayer.com/product/622377_200w.jpg,74,24070,https://cpt.tcgcsv.com/zZ-6,2025-03-07T05:10:20,1,0.07,0.15,1.38,0.12,,Normal,Common,005,"Diao Chan Lineage<br>
<br>
Inherited Effect — At the beginning of your end phase, if the amount of glimmer counters on Diao Chan is less than the amount of phantasias you control, put an amount of glimmer counters on Diao Chan equal to the difference.",Champion,Cleric;Human,Norm,Cleric,2,2,22,,,,,
622377,"Diao Chan, Dreaming Wish",Diao Chan Dreaming Wish,https://tcgplayer-cdn.tcgplayer.com/product/622377_200w.jpg,74,24070,https://cpt.tcgcsv.com/zZ-6,2025-03-07T05:10:20,1,3.99,14.12,44.99,11.26,,Foil,Common,005,"Diao Chan Lineage<br>
<br>
Inherited Effect — At the beginning of your end phase, if the amount of glimmer counters on Diao Chan is less than the amount of phantasias you control, put an amount of glimmer counters on Diao Chan equal to the difference.",Champion,Cleric;Human,Norm,Cleric,2,2,22,,,,,
622378,"Diao Chan, Idyll Corsage",Diao Chan Idyll Corsage,https://tcgplayer-cdn.tcgplayer.com/product/622378_200w.jpg,74,24070,https://cpt.tcgcsv.com/BZ-6,2025-03-07T05:10:20,1,0.05,0.15,1.37,0.11,,Normal,Common,006,"Diao Chan Lineage<br>
<br>
On Enter: Choose any amount of non-champion objects and put a wither counter on each of them.<br>
<br>
Whenever a non-token object an opponent controls is destroyed, you may banish it. If you do, that opponent summons a Flowerbud token.",Champion,Cleric;Human,Tera,Cleric,3,3,25,,,,,
622378,"Diao Chan, Idyll Corsage",Diao Chan Idyll Corsage,https://tcgplayer-cdn.tcgplayer.com/product/622378_200w.jpg,74,24070,https://cpt.tcgcsv.com/BZ-6,2025-03-07T05:10:20,1,10.0,14.0,50.0,17.73,,Foil,Common,006,"Diao Chan Lineage<br>
<br>
On Enter: Choose any amount of non-champion objects and put a wither counter on each of them.<br>
<br>
Whenever a non-token object an opponent controls is destroyed, you may banish it. If you do, that opponent summons a Flowerbud token.",Champion,Cleric;Human,Tera,Cleric,3,3,25,,,,,
622379,"Guo Jia, Chosen Disciple",Guo Jia Chosen Disciple,https://tcgplayer-cdn.tcgplayer.com/product/622379_200w.jpg,74,24070,https://cpt.tcgcsv.com/CZ-6,2025-03-07T05:10:20,1,0.07,0.15,1.38,0.12,,Normal,Common,007,"On Enter: If you don't control a Fatestone regalia, reveal all cards in your material deck. Then put a Fatestone regalia card with the lowest memory cost from among them onto the field.",Champion,Tamer;Human,Norm,Tamer,1,1,19,"<em>Despite what others may believe, the lily pad provides relief for many beneath its gentle shade, away from the sun's relentless blaze.</em>",,,,
622379,"Guo Jia, Chosen Disciple",Guo Jia Chosen Disciple,https://tcgplayer-cdn.tcgplayer.com/product/622379_200w.jpg,74,24070,https://cpt.tcgcsv.com/CZ-6,2025-03-07T05:10:20,1,18.01,22.95,45.01,29.9,,Foil,Common,007,"On Enter: If you don't control a Fatestone regalia, reveal all cards in your material deck. Then put a Fatestone regalia card with the lowest memory cost from among them onto the field.",Champion,Tamer;Human,Norm,Tamer,1,1,19,"<em>Despite what others may believe, the lily pad provides relief for many beneath its gentle shade, away from the sun's relentless blaze.</em>",,,,
